Invoice #,Medicine,Manufacturer,salePerUnit,Total Items,Category,buyPerPack,salePerPack,unitsPerPack
1,Pill Cutter,AMROS,300,0,Medicine,200,300,0
2,Whito Rose Cream,AMROS,250,0,Medicine,120,250,0
3,Evotex 5mg Tab,ROTEXMEDICA,5.5,0,Medicine,46.75,55,0
4,Fulphen 25mg Inj,ROTEXMEDICA,90,0,Medicine,765,900,0
5,Gastrolux 20mg Cap,ROTEXMEDICA,8.5,0,Medicine,101.15,119,0
6,Gastrolux 40mg Cap,ROTEXMEDICA,14.14,0,Medicine,168.3,198,0
7,Megatron Plus Tab,ROTEXMEDICA,8.2,0,Medicine,69.7,82,0
8,Megatron Tab,ROTEXMEDICA,8.5,0,Medicine,144.5,170,0
9,Monoflox 320mg Tab,ROTEXMEDICA,85.71,0,Medicine,510,600,0
10,Rotamox 400mg Tab,ROTEXMEDICA,75,0,Medicine,318.75,375,0
11,Scanlux 250mg Tab,ROTEXMEDICA,13,0,Medicine,110.5,130,0
12,Scanlux 500mg Tab,ROTEXMEDICA,21.5,0,Medicine,182.75,215,0
13,Timezol 20mg Cap,ROTEXMEDICA,10.29,0,Medicine,122.4,144,0
14,Timezol 40mg Cap,ROTEXMEDICA,17.86,0,Medicine,212.5,250,0
15,Volden Fort 50 Tab,ROTEXMEDICA,3,0,Medicine,51,60,0
16,Volden Fort K 75 Tab,ROTEXMEDICA,4.5,0,Medicine,76.5,90,0
17,Volden Fort Sr 100mg,ROTEXMEDICA,6.67,0,Medicine,170,200,0
18,Zengac 500mg Inj,ROTEXMEDICA,811.5,0,Medicine,689.78,811.5,0
19,Ah Couch 450ml,OTHER / MISC,150,0,Medicine,52,150,0
20,Betasol C Ont,OTHER / MISC,610,0,Medicine,518.47,610,0
21,Betasol G Cream,OTHER / MISC,100,0,Medicine,85.01,100,0
22,Betasol N Cream,OTHER / MISC,55.3,0,Medicine,47.01,55.3,0
23,Fucyn B Cream,OTHER / MISC,292.42,0,Medicine,248.86,292.42,0
24,Fucyn Cream 2%,OTHER / MISC,250.03,0,Medicine,212.53,250.03,0
25,Fucyn H Cream,OTHER / MISC,341.57,0,Medicine,290.34,341.57,0
26,Hazotec Sachets,OTHER / MISC,65,0,Medicine,552,650,0
27,Hintos Cough Syp,OTHER / MISC,190,0,Medicine,81,190,0
28,Medroxin Cream,OTHER / MISC,230.96,0,Medicine,196.32,230.96,0
29,Methrix Lotion,OTHER / MISC,143.12,0,Medicine,121.66,143.12,0
30,Micogel Oral Gel,OTHER / MISC,127.6,0,Medicine,108.46,127.6,0
31,Minoxol Lotion,OTHER / MISC,675,0,Medicine,573.77,675,0
32,Monozole H Cream,OTHER / MISC,96.37,0,Medicine,81.92,96.37,0
33,Prelac-1,OTHER / MISC,780,0,Medicine,736,780,0
34,Protica Cream,OTHER / MISC,175.64,0,Medicine,149.04,175.64,0
35,Protica Lotion,OTHER / MISC,303,0,Medicine,257.6,303,0
36,Rivaj Sunblock 100ml,OTHER / MISC,600,0,Genral Store,470,600,0
37,Silverex Cream,OTHER / MISC,183.81,0,Medicine,156.24,183.81,0
38,Tegsol 125mg Tab,OTHER / MISC,47.43,0,Medicine,403.16,474.3,0
39,Tegsol 250mg Tab,OTHER / MISC,75.74,0,Medicine,644.01,757.4,0
40,Tegsol Cream,OTHER / MISC,249.98,0,Medicine,212.49,249.98,0
41,Tegsol Lotion,OTHER / MISC,391.64,0,Medicine,332.89,391.64,0
42,Tenim 100mg Tab,OTHER / MISC,6,0,Medicine,65,120,0
43,Tibet Powder,OTHER / MISC,190,0,Medicine,175,190,0
44,Transamine Inj Local,OTHER / MISC,60,0,Medicine,40,60,0
45,Walvita  Plus Sachet,OTHER / MISC,750,0,Medicine,637.5,750,0
46,Algac 10mg Tab,OTHER / MISC,6,0,Medicine,51,60,0
47,Aligant 500mg Tab,OTHER / MISC,28.5,0,Medicine,50,285,0
48,Aligant Tab 250mg,OTHER / MISC,18.5,0,Medicine,40,185,0
49,Allergid 10mg Tab,OTHER / MISC,3,0,Medicine,9,30,0
50,Ancip Tab 250mg,OTHER / MISC,13,0,Medicine,110.5,130,0
51,Ancip Tab 500mg,OTHER / MISC,21.5,0,Medicine,182.75,215,0
52,Animation 10% 20g Spray,OTHER / MISC,400,0,Medicine,200,400,0
53,Dooz Gel,OTHER / MISC,400,0,Medicine,180,400,0
54,Hi Salz T/p 100g,OTHER / MISC,196.07,0,Medicine,173.06,196.07,0
55,Lorip 10mg,OTHER / MISC,7.2,0,Medicine,9,72,0
56,Neublizer Easy Neb,OTHER / MISC,2600,0,Medicine,2300,2600,0
57,Stud Silver Condom,OTHER / MISC,50,0,Medicine,30,50,0
58,Sulvobid 100mg Tab,OTHER / MISC,14,0,Medicine,238,280,0
59,Sulvobid 50mg Tab,OTHER / MISC,10,0,Medicine,170,200,0
60,Teknofanec Tab,OTHER / MISC,3,0,Medicine,16,60,0
61,Tester All,OTHER / MISC,40,0,Medicine,20,40,0
62,Viagora 10% Spray,OTHER / MISC,400,0,Medicine,225,400,0
63,Arthiflex 20easy Swallow Cap,21ST CENTURY LABORTORIEAS,18,0,Medicine,324,360,0
64,Bepronate Cream 15gm,21ST CENTURY LABORTORIEAS,50,0,Medicine,42.5,50,0
65,Cartiflex Cap,21ST CENTURY LABORTORIEAS,8.15,0,Medicine,138.55,163,0
66,Cartiflex Cap (12 Pack),21ST CENTURY LABORTORIEAS,14,0,Medicine,151,168,0
67,Cornsilk Tab,21ST CENTURY LABORTORIEAS,16,0,Medicine,432,480,0
68,Dermicon Cream 10gm,21ST CENTURY LABORTORIEAS,30,0,Medicine,25.5,30,0
69,Dermicon Hc Cream 10gm,21ST CENTURY LABORTORIEAS,60,0,Medicine,51,60,0
70,Maxbon 10mg Tab,21ST CENTURY LABORTORIEAS,12,0,Medicine,102,120,0
71,Maxbon 70mg Tab,21ST CENTURY LABORTORIEAS,80,0,Medicine,680,800,0
72,Melatonin 3mg Tab (21st Century,21ST CENTURY LABORTORIEAS,11,0,Medicine,198,220,0
73,Ocuhdalth Tab,21ST CENTURY LABORTORIEAS,25,0,Medicine,315,350,0
74,Paraffin Gauze,21ST CENTURY LABORTORIEAS,75,0,Medicine,42,75,0
75,Phyto Complex Cap,21ST CENTURY LABORTORIEAS,19,0,Medicine,342,380,0
76,Mexaderm Tab,21ST CENTURY LABORTORIES (2),16,0,Medicine,288,320,0
77,Capsa Gel,A H H MISC,90,0,Medicine,76.5,90,0
78,Cerebex 120ml Syp,A H H MISC,210,0,Medicine,178.5,210,0
79,Cerebex Cap,A H H MISC,9.62,0,Medicine,245,288.5,0
80,Concepto Tab,A H H MISC,26.67,0,Medicine,680,800,0
81,Duoton Fort Inj,A H H MISC,72,0,Medicine,612,720,0
82,Insol F Tab,A H H MISC,21.67,0,Medicine,552.5,650,0
83,Luospa Inj 2ml,A H H MISC,56,0,Medicine,476,560,0
84,Medicobal Tab,A H H MISC,6,0,Medicine,102,120,0
85,Naerex Tab,A H H MISC,9.95,0,Medicine,169.15,199,0
86,Parotin 20mg Tab,A H H ZAKA,23,0,Medicine,195.5,230,0
87,Velax 37.5mg Tab,A H H ZAKA,20,0,Medicine,340,400,0
88,Velax Xr 75mg Tab,A H H ZAKA,36.5,0,Medicine,310.25,365,0
89,Bilsot Tab,A ONE TRADERS (ALL),20,0,Medicine,340,400,0
90,Filatil 30miu Inj,A ONE TRADERS (ALL),1900,0,Market Special,1650,1900,0
91,Mortic Oral Drop,A ONE TRADERS (ALL),450,0,Medicine,382.5,450,0
92,Norton 210gm Milk,A ONE TRADERS (ALL),490,0,Milk,467.5,490,0
93,Reprotel Sachets,A ONE TRADERS (ALL),85,0,Medicine,1445,1700,0
94,Solomed 125mg Inj,A ONE TRADERS (ALL),213.97,0,Medicine,0,213.97,0
95,Solomed 40mg Inj,A ONE TRADERS (ALL),144.3,0,Medicine,1,144.3,0
96,Trexate 2.5mg Tab,A ONE TRADERS (ALL),6.1,0,Medicine,0,609.5,0
97,Trexate 50mg Inj,A ONE TRADERS (ALL),235.77,0,Medicine,200.4,235.77,0
98,Co Loam 100mg Tab,AAQIB 01(GLOW SUN),68.5,0,Medicine,1746.75,2055,0
99,Cognitol Plus Drop,AAQIB 01(GLOW SUN),1050,0,Medicine,892.5,1050,0
100,De Oral Drop,AAQIB 01(GLOW SUN),290,0,Medicine,246.5,290,0
101,Defend Tab,AAQIB 01(GLOW SUN),17.5,0,Medicine,297.5,350,0
102,E Prazole 20mg Cap,AAQIB 01(GLOW SUN),9.71,0,Medicine,115.6,136,0
103,Esalpram 10mg Tab,AAQIB 01(GLOW SUN),17.86,0,Medicine,425,500,0
104,Esciwink 10mg Tab,AAQIB 01(GLOW SUN),37.5,0,Medicine,446.25,525,0
105,Fix 400mg Caps,AAQIB 01(GLOW SUN),74.75,0,Medicine,317.69,373.74,0
106,Flourish Sachets,AAQIB 01(GLOW SUN),15,0,Medicine,127.5,150,0
107,Flourish Tab,AAQIB 01(GLOW SUN),15,0,Medicine,127.5,150,0
108,Fycam C 20mg Tab,AAQIB 01(GLOW SUN),10,0,Medicine,170,200,0
109,G Cof Syp,AAQIB 01(GLOW SUN),150,0,Medicine,127.5,150,0
110,Glovit Tab,AAQIB 01(GLOW SUN),19.75,0,Medicine,335.75,395,0
111,Iro F Syp,AAQIB 01(GLOW SUN),225,0,Medicine,191.25,225,0
112,Iro F Tab,AAQIB 01(GLOW SUN),12.5,0,Medicine,165.75,250,0
113,Litrex 2.5mg Tab,AAQIB 01(GLOW SUN),196.67,0,Medicine,5015,5900,0
114,Lornac 8mg Tab,AAQIB 01(GLOW SUN),16,0,Medicine,136.4,160,0
115,Mela Oral Drop,AAQIB 01(GLOW SUN),380,0,Medicine,323,380,0
116,Mycal D Syp,AAQIB 01(GLOW SUN),175,0,Medicine,148.75,175,0
117,Mycal D Tab,AAQIB 01(GLOW SUN),25,0,Medicine,425,500,0
118,Mycid Syp,AAQIB 01(GLOW SUN),190,0,Medicine,161.5,190,0
119,Neuro Plus  Drops,AAQIB 01(GLOW SUN),2050,0,Medicine,1742.5,2050,0
120,Neuromusc 30ml Drop,AAQIB 01(GLOW SUN),1050,0,Medicine,892.5,1050,0
121,Paroxywin Cr 12.5mg Tab,AAQIB 01(GLOW SUN),15.83,0,Medicine,412.5,475,0
122,Peplar Syp,AAQIB 01(GLOW SUN),250,0,Medicine,212.5,250,0
123,Pro Deef Sachet,AAQIB 01(GLOW SUN),50,0,Medicine,425,500,0
124,Qco Loam Tab,AAQIB 01(GLOW SUN),52.5,0,Medicine,892.5,1050,0
125,Ruma Gel,AAQIB 01(GLOW SUN),550,0,Medicine,467.5,550,0
126,Setformin 50/1000mg Tab,AAQIB 01(GLOW SUN),33.57,0,Medicine,399.5,470,0
127,Setformin 50/500mg Tab,AAQIB 01(GLOW SUN),35.36,0,Medicine,420.75,495,0
128,Sezro 40mg Inj,AAQIB 01(GLOW SUN),525,0,Surgical,446.25,525,0
129,Textrin Tab,AAQIB 01(GLOW SUN),8.75,0,Medicine,148.75,175,0
130,Tramax P Tab,AAQIB 01(GLOW SUN),12.2,0,Medicine,102.77,122,0
131,Winkof Syp,AAQIB 01(GLOW SUN),250,0,Medicine,212.5,250,0
132,Xcite 10mg Tab,AAQIB 01(GLOW SUN),28.2,0,Medicine,239.7,282,0
133,Aha 10 Plus Tab,AAQIB 02(MACK & JHON),59.5,0,Medicine,1011.5,1190,0
134,Duset 4mg Inj,AAQIB 02(MACK & JHON),80,0,Medicine,68,80,0
135,Duset 8mg Inj,AAQIB 02(MACK & JHON),120,0,Medicine,102,120,0
136,Irofit Syp,AAQIB 02(MACK & JHON),156.81,0,Medicine,133.28,156.81,0
137,Missron Tab,AAQIB 02(MACK & JHON),48.9,0,Medicine,831.3,978,0
138,Proset 0.4mg Cap,AAQIB 02(MACK & JHON),38,0,Medicine,323,380,0
139,Solanz 30mg Cap,AAQIB 02(MACK & JHON),18.46,0,Medicine,219.5,258.43,0
140,Syndrop Inj,AAQIB 02(MACK & JHON),115.34,0,Medicine,98,115.34,0
141,Biolean Syp 240ml,AAQIB 03(SAGLIK),400,0,Medicine,340,400,0
142,Decid Syp,AAQIB 04(SERAPH),150,0,Medicine,127.5,150,0
143,Empro 20mg Cap,AAQIB 04(SERAPH),9.71,0,Medicine,115.6,136,0
144,Empro 40mg Cap,AAQIB 04(SERAPH),20.86,0,Medicine,248.2,292,0
145,Globex 5 Syp,AAQIB 04(SERAPH),275,0,Medicine,233.75,275,0
146,Globex 5 Tab,AAQIB 04(SERAPH),29,0,Medicine,493,580,0
147,Icunem 1gm Inj,AAQIB 04(SERAPH),2650,0,Medicine,2252.5,2650,0
148,Icunem 500mg Inj,AAQIB 04(SERAPH),1430,0,Medicine,1215.5,1430,0
149,Ketovit Tab,AAQIB 04(SERAPH),31.94,0,Medicine,2714.9,3194,0
150,Sega Syp,AAQIB 04(SERAPH),370,0,Medicine,314.5,370,0
151,Serito 50mg Tab,AAQIB 04(SERAPH),24,0,Medicine,204,240,0
152,Exvit Cap,AAQIB 05(AL NOOR),52.95,0,Medicine,450.05,529.47,0
153,Jointek Tab,AAQIB 05(AL NOOR),40,0,Medicine,1020,1200,0
154,Medistol Sachet,AAQIB 05(AL NOOR),0.1,0,Medicine,1,1,0
155,Nervit Cap,AAQIB 05(AL NOOR),36,0,Medicine,612,720,0
156,Nezo 600mg Tab,AAQIB 05(AL NOOR),135,0,Medicine,1377,1620,0
157,Onfixime 400mg Cap,AAQIB 05(AL NOOR),79.4,0,Medicine,337.45,397,0
158,Onfixime Ds Syp,AAQIB 05(AL NOOR),300,0,Medicine,255,300,0
159,Onfixime Syp,AAQIB 05(AL NOOR),180,0,Medicine,153,180,0
160,Rips D Tab,AAQIB 05(AL NOOR),25,0,Medicine,637.5,750,0
161,Slim Tox Cap 60cap,AAQIB 05(AL NOOR),1,0,Medicine,1,1,0
162,Finago Syp 120ml,AAQIB 07(CERO UNE),215,0,Medicine,182.75,215,0
163,Finago Syp Kids 60ml,AAQIB 07(CERO UNE),125,0,Medicine,106.25,125,0
164,Inflodema 40mg Tab,AAQIB 07(CERO UNE),28,0,Medicine,476,560,0
165,Ojovis Tab,AAQIB 07(CERO UNE),30,0,Medicine,510,600,0
166,Pullup Tab,AAQIB 07(CERO UNE),49.5,0,Medicine,841.5,990,0
167,Act On Gel,AAQIB 08(MISC),380,0,Medicine,323,380,0
168,Bigcal D Tab,AAQIB 08(MISC),27.5,0,Medicine,467.5,550,0
169,Calas Syp,AAQIB 08(MISC),275,0,Medicine,233.75,275,0
170,Comforta Tab,AAQIB 08(MISC),15,0,Medicine,255,300,0
171,Coolcid Syp,AAQIB 08(MISC),170,0,Medicine,144.5,170,0
172,Esto D 10mg Tab,AAQIB 08(MISC),28.57,0,Medicine,340,400,0
173,"Havocol 1mg,400mcg Tab",AAQIB 08(MISC),0,0,Medicine,0,0,0
174,Kalam Tab,AAQIB 08(MISC),25,0,Medicine,637.5,750,0
175,Lornical 8mg Tab,AAQIB 08(MISC),17.17,0,Medicine,291.88,343.38,0
176,Mecare Fort Tab,AAQIB 08(MISC),30,0,Medicine,765,900,0
177,Melatocyl 5mg Tab,AAQIB 08(MISC),40,0,Medicine,510,600,0
178,Nerex Oral Drop,AAQIB 08(MISC),1150,0,Medicine,977.5,1150,0
179,Neurolife Syp,AAQIB 08(MISC),650,0,Medicine,552.5,650,0
180,Newrolin Cap (deen),AAQIB 08(MISC),40,0,Medicine,1020,1200,0
181,Ostech Plus Tab,AAQIB 08(MISC),60,0,Medicine,1020,1200,0
182,Ozlin 600mg Tab,AAQIB 08(MISC),110,0,Medicine,1122,1320,0
183,Pharmageb 75mg Cap,AAQIB 08(MISC),20.14,0,Medicine,239.7,282,0
184,Reti D Oral Drop,AAQIB 08(MISC),350,0,Medicine,297.5,350,0
185,"Vita D3 Cap 1""",AAQIB 08(MISC),280,0,Medicine,238,280,0
186,Welgab 75mg Cap,AAQIB 08(MISC),35,0,Medicine,416.5,490,0
187,Iroment Tab,AAQIB 10(HEALTHAWARE),15,0,Medicine,382.5,450,0
188,Milsu Powder Milk,AAQIB 10(HEALTHAWARE),1250,0,Milk,1125,1250,0
189,Q Let Tab,AAQIB 10(HEALTHAWARE),16.5,0,Medicine,420.75,495,0
190,Q Sital Tab,AAQIB 10(HEALTHAWARE),49.83,0,Medicine,1270.75,1495,0
191,Brain X 50ml Drop,AAQIB 11(RMAFH PHARMA),1550,0,Medicine,1317.5,1550,0
192,Critam 250mg Tab,AAQIB 11(RMAFH PHARMA),32.34,0,Medicine,274.9,323.41,0
193,Critam 500mg Tab,AAQIB 11(RMAFH PHARMA),53.6,0,Medicine,455.6,536,0
194,Estoray 10mg Tab (citopam),AAQIB 11(RMAFH PHARMA),25,0,Medicine,297.5,350,0
195,Estowel 10mg Tab,AAQIB 11(RMAFH PHARMA),19,0,Medicine,226.1,266,0
196,Mine D Tab,AAQIB 11(RMAFH PHARMA),230,0,Medicine,195.5,230,0
197,Neuro Brase Drop,AAQIB 11(RMAFH PHARMA),1150,0,Medicine,977.5,1150,0
198,Nucobal Tab,AAQIB 11(RMAFH PHARMA),40,0,Medicine,1020,1200,0
199,R Colin Syp,AAQIB 11(RMAFH PHARMA),950,0,Medicine,807.5,950,0
200,R Colin Tab,AAQIB 11(RMAFH PHARMA),95,0,Medicine,807.5,950,0
201,Winspat 50mg Tab,AAQIB 11(RMAFH PHARMA),35,0,Medicine,416.5,490,0
202,Ginkobel 60mg Cap,ABATRA TECHNOLOGY CO LTD,10,0,Medicine,204,240,0
203,Ginkobex Syp,ABATRA TECHNOLOGY CO LTD,260,0,Medicine,221,260,0
204,Ginkosen 40mg Tab,ABATRA TECHNOLOGY CO LTD,12,0,Medicine,210,240,0
205,Ensure 400gm (choc),ABBOT MILK,3000,0,Milk,2873.69,3000,0
206,Ensure 400gm (strb),ABBOT MILK,1800,0,Milk,1738,1800,0
207,Ensure 400gm (vanila),ABBOT MILK,3000,0,Milk,2873.69,3000,0
208,Ensure 850gm (choc),ABBOT MILK,3750,0,Milk,2984.1,3750,0
209,Ensure 850gm (vanila),ABBOT MILK,3750,0,Milk,2983.76,3750,0
210,Ensure Nutrivigor,ABBOT MILK,1975,0,Milk,1553.03,1975,0
211,Ensure Plus Liquid,ABBOT MILK,480,0,Milk,377.44,480,0
212,Glucerna  Liq 250ml,ABBOT MILK,655,0,Milk,377.44,655,0
213,Glucerna (choclate) Tin,ABBOT MILK,2750,0,Milk,2610.24,2750,0
214,Glucerna (vanilla) Tin,ABBOT MILK,2900,0,Milk,2749.94,2900,0
215,Nepro Hp Milk,ABBOT MILK,1500,0,Milk,1397,1500,0
216,Nepro Lp Milk,ABBOT MILK,1250,0,Milk,1165,1250,0
217,Pediasure 200gm (vanila),ABBOT MILK,840,0,Milk,747,840,0
218,Pediasure 400gm (choc),ABBOT MILK,2550,0,Milk,2427,2550,0
219,Pediasure 400gm (str),ABBOT MILK,2350,0,Milk,2241.12,2350,0
220,Pediasure 400gm (vanila),ABBOT MILK,2500,0,Milk,2427.88,2500,0
221,Pediasure 850gm (choclate),ABBOT MILK,3790,0,Milk,3524,3790,0
222,Pediasure 850gm (straw),ABBOT MILK,3790,0,Milk,2653.28,3790,0
223,Pediasure 850gm (vanila),ABBOT MILK,3790,0,Milk,2972.06,3790,0
224,Promod Milk 275gm,ABBOT MILK,606,0,Medicine,597.55,606,0
225,Similac 1 400g Milk,ABBOT MILK,1380,0,Milk,1067,1380,0
226,Similac 2 400g Milk,ABBOT MILK,1450,0,Milk,1171.25,1450,0
227,Similac Mom 400gm,ABBOT MILK,1130,0,Milk,920,1130,0
228,Similac Neosure 370gm,ABBOT MILK,1435,0,Milk,1159.2,1435,0
229,Similac Total Comfort 1,ABBOT MILK,1680,0,Milk,1352.86,1680,0
230,Similac Total Comfort 2,ABBOT MILK,1680,0,Milk,1637,1680,0
231,Similac Total Comfort Kid 3,ABBOT MILK,1650,0,Milk,1352.86,1650,0
232,Suplena 8fl Oz,ABBOT MILK,174,0,Medicine,157,174,0
233,Abiclot 75mg Tab,ABBOTT,13,0,Medicine,110.5,130,0
234,Abiclot Plus Tab,ABBOTT,13,0,Medicine,110.5,130,0
235,Abocain Spinal Inj,ABBOTT,52.62,0,Medicine,224,263.12,0
236,Abocal Tab,ABBOTT,351,0,Medicine,298.35,351,0
237,Abocran Sachet,ABBOTT,49.69,0,Medicine,378.88,496.85,0
238,Apiton Syp,ABBOTT,150,0,Medicine,127.5,150,0
239,Arinac  Syp,ABBOTT,180,0,Medicine,153,180,0
240,Arinac Forte Tab,ABBOTT,12.76,0,Medicine,1084.6,1276,0
241,Arinac Tab,ABBOTT,6.86,0,Medicine,583.1,686,0
242,Artifen 20g Gel,ABBOTT,79.34,0,Medicine,67.44,79.34,0
243,Artifen 3ml Inj,ABBOTT,27.39,0,Medicine,116.42,136.97,0
244,Artifen 50mg Tab,ABBOTT,8.48,0,Medicine,720.8,848,0
245,Atrelax 25mg Inj,ABBOTT,105,0,Medicine,439.35,525,0
246,Atrelax 50mg Inj,ABBOTT,199.92,0,Medicine,849.64,999.58,0
247,Baby Bliss Cream,ABBOTT,450,0,Medicine,382.5,450,0
248,Becefol Tab,ABBOTT,8.76,0,Medicine,186.15,219,0
249,Bejectal Inj,ABBOTT,71.16,0,Medicine,60.49,71.16,0
250,Bejectal T Inj,ABBOTT,100,0,Medicine,68.9,100,0
251,Bevidox 3ml Inj,ABBOTT,12,0,Medicine,255,300,0
252,Bevidox Tab (60tab),ABBOTT,5.85,0,Medicine,298.35,351,0
253,Bremax 1mg Tab,ABBOTT,1.66,0,Medicine,141.3,166.25,0
254,Bremax 2mg Tab,ABBOTT,3.57,0,Medicine,302.24,357,0
255,Bremax 60ml Syp,ABBOTT,33.88,0,Medicine,28.8,33.88,0
256,Brufen  200mg Tab,ABBOTT,4.36,0,Medicine,360.84,436.42,0
257,Brufen  400mg Tab,ABBOTT,3.03,0,Medicine,643.51,757.07,0
258,Brufen  600mg Tab,ABBOTT,5.02,0,Medicine,153.53,180.62,0
259,Brufen  Plus Tab,ABBOTT,6.62,0,Medicine,112.56,132.42,0
260,Brufen  Syp,ABBOTT,129.11,0,Medicine,109.75,129.11,0
261,Brufen Cream,ABBOTT,101.69,0,Medicine,86.44,101.69,0
262,Brufen Ds Syp,ABBOTT,118.08,0,Medicine,100.37,118.08,0
263,Burnol 30gm Cream,ABBOTT,29.79,0,Medicine,25.32,29.79,0
264,Cansaar 16mg Tab,ABBOTT,27.96,0,Medicine,665.34,782.75,0
265,Cansaar 32mg Tab,ABBOTT,26.28,0,Medicine,312.77,367.96,0
266,Cansaar 8mg Tab,ABBOTT,20.19,0,Medicine,240.25,282.64,0
267,Cansaar Plus 16/12.5 Tab,ABBOTT,29.27,0,Medicine,497.6,585.41,0
268,Cecon 500mg Tab,ABBOTT,180.12,0,Medicine,153.1,180.12,0
269,Cecon Drops,ABBOTT,155,0,Medicine,131.75,155,0
270,Citro Soda  Lemon (100),ABBOTT,18.71,0,Medicine,1589.97,1870.56,0
271,Citro Soda Lemon 20 Sachet,ABBOTT,26.5,0,Medicine,450.55,530,0
272,Cofcol Syp,ABBOTT,220,0,Medicine,187,220,0
273,Cofcol Tab,ABBOTT,3.08,0,Medicine,654.39,769.87,0
274,Cofloz Herbal Syp,ABBOTT,145,0,Medicine,123.25,145,0
275,Cofloz Ivy  Syp,ABBOTT,175,0,Medicine,148.75,175,0
276,Cofloz Ivy Lozenges,ABBOTT,80,0,Medicine,816,960,0
277,Cofloz Lozenges,ABBOTT,56,0,Medicine,571.2,672,0
278,Cofloz Oral Drop,ABBOTT,170,0,Medicine,144.5,170,0
279,Cofloz Tab,ABBOTT,48,0,Medicine,489.6,576,0
280,Colofac 135mg Tab,ABBOTT,16.9,0,Medicine,432.65,507,0
281,Cremaffin Syp,ABBOTT,150,0,Medicine,127.5,150,0
282,Dayalets Tab,ABBOTT,6.12,0,Medicine,156.06,183.6,0
283,Daycor Syp,ABBOTT,69,0,Medicine,58.65,69,0
284,Defal 30ml Syp,ABBOTT,90,0,Medicine,76.5,90,0
285,Defal 60ml Syp,ABBOTT,180,0,Medicine,153,180,0
286,Defal 80/480mg Tab,ABBOTT,58.51,0,Medicine,298.4,351.05,0
287,Deslavid 5mg Tab,ABBOTT,17.74,0,Medicine,150.82,177.43,0
288,Dijex Mp Syp,ABBOTT,160,0,Medicine,136,160,0
289,Duphalac 120ml Syp,ABBOTT,306.57,0,Medicine,260.59,306.57,0
290,Duphalac 240ml Syp,ABBOTT,541.01,0,Medicine,459.86,541.01,0
291,Duphaston 10mg Tab,ABBOTT,62.5,0,Medicine,1062.5,1250,0
292,Econid 1mg Tab,ABBOTT,6.38,0,Medicine,108.38,127.5,0
293,Econid 2mg Tab,ABBOTT,11.77,0,Medicine,199.97,235.36,0
294,Econid 3mg Tab,ABBOTT,19.13,0,Medicine,325.14,382.52,0
295,Econid 4mg Tab,ABBOTT,25.5,0,Medicine,433.53,510.03,0
296,Enoxabid 400mg Tab,ABBOTT,55.5,0,Medicine,943.55,1110.06,0
297,Entamizole  Tab,ABBOTT,8.2,0,Medicine,209.1,246,0
298,Entamizole Ds Tab,ABBOTT,16.13,0,Medicine,205.7,242,0
299,Entamizole Susp,ABBOTT,135,0,Medicine,114.75,135,0
300,Epival 250mg Tab,ABBOTT,8.94,0,Medicine,759.55,893.56,0
301,Epival 500mg Tab,ABBOTT,23.07,0,Medicine,1960.54,2306.51,0
302,Epival Cr Tab,ABBOTT,26.6,0,Medicine,1130.5,1330,0
303,Epival Inj,ABBOTT,222.52,0,Medicine,189.15,222.52,0
304,Epival Syp,ABBOTT,323.35,0,Medicine,274.85,323.35,0
305,Ez Col 60ml Syp,ABBOTT,290,0,Medicine,246.5,290,0
306,Ezomol 20mg Cap,ABBOTT,13.52,0,Medicine,160.94,189.34,0
307,Ezomol 40mg Cap,ABBOTT,24.75,0,Medicine,294.55,346.53,0
308,Faverin 100mg Tab,ABBOTT,59.09,0,Medicine,502.23,590.86,0
309,Faverin 50mg Tab,ABBOTT,29.7,0,Medicine,1514.69,1781.99,0
310,Femoston 1/10mg Tab,ABBOTT,425,0,Medicine,361.25,425,0
311,Femoston 1/5 Mg Tab,ABBOTT,280,0,Medicine,238,280,0
312,Femoston Tab,ABBOTT,23.7,0,Medicine,564,663.52,0
313,Flexin 250mg Tab,ABBOTT,13.4,0,Medicine,227.8,268,0
314,Flexin 500mg Tab,ABBOTT,24.05,0,Medicine,408.85,481,0
315,Floaid 10mg Tab,ABBOTT,34.64,0,Medicine,412.25,485,0
316,Floaid 4mg Sachet,ABBOTT,21.83,0,Medicine,259.74,305.58,0
317,Floaid 5mg Tab,ABBOTT,24.35,0,Medicine,289.79,340.92,0
318,Froben 100mg Tab,ABBOTT,13,0,Medicine,331.5,390,0
319,Froben 50mg Tab,ABBOTT,10.61,0,Medicine,270.43,318.15,0
320,Froben Gel 50gm,ABBOTT,467.91,0,Medicine,397.73,467.91,0
321,Froben Sr 200mg Cap,ABBOTT,18.84,0,Medicine,480.34,565.11,0
322,Ganaton 50mg Tab,ABBOTT,33.17,0,Medicine,845.75,995,0
323,Ganaton Od 150mg Tab,ABBOTT,55,0,Medicine,467.5,550,0
324,Gopten 2mg Cap,ABBOTT,15.76,0,Medicine,133.95,157.59,0
325,Herbactive Oint 20g,ABBOTT,150,0,Medicine,127.5,150,0
326,Hidrasec 100mg Cap,ABBOTT,147.9,0,Medicine,1257.18,1479.03,0
327,Hidrasec 10mg Infant Sachet,ABBOTT,110.93,0,Medicine,1508.62,1774.84,0
328,Hidrasec 30mg Children Sachet,ABBOTT,110.93,0,Medicine,1508.6,1774.88,0
